Milliseconds,X,Y,Z
11051,-0.4572727,-0.3837079,-1.797003
11101,-0.90468335,-0.084901504,-2.2587947999999995
11151,-0.8700623,0.27409232,-2.5815697
11202,-0.6255843000000001,0.858922,-2.4750433
11251,-0.85088754,0.20165439,-1.8183082
11301,-0.45034847,0.33108390000000004,-1.5940702
11352,-0.16965152,-0.4353732,-0.8691585
11401,0.19413596,-0.8300533000000001,0.059751295
11451,0.7262350999999999,0.08554066,0.9364631999999999
11502,1.2002774,-0.34109738,1.8541877
11552,1.0735111000000002,-0.0082025295,2.5418152999999997
11602,0.43222234,0.05890907,2.3575246
11652,0.5339550000000001,0.4179029,1.7018551
11701,0.26550862,-0.16745941,1.6848108
11751,0.21011493,0.36943337,1.2496507
11801,0.33528337,0.33055127,0.8592315999999999
11851,0.1446012,0.27089652,0.86455786
11902,0.24633387,0.27569023,0.46668193
11952,0.30012968,-0.061998338,0.19610502
12002,0.10838224,-0.4998215999999999,-0.08033085599999999
12052,-0.6277149000000001,-0.62552273,-0.8601037
12102,-1.0602118,-0.058802545,-2.1741064
12152,-1.2727318,-0.03323622,-2.0718408
12202,-1.0128076,0.65492404,-2.486761
12252,-0.77738434,0.05198486,-2.0143168
12301,-0.8658011999999998,0.67250085,-1.801264
12351,-0.7811128,0.38115129999999997,-1.4955333
12401,-0.68257594,-0.37571844,-0.6955205
12451,-0.23303472,-0.05081307,0.26534715
12501,0.3880139,0.55798507,0.567882
12551,0.8322288000000001,0.08074697,1.8430023999999998
12602,0.717713,1.1071284,1.8483287
12652,0.33368546,-0.27824682,2.29787
12702,0.56964135,-0.28996474,1.9995961
12752,0.78855294,-0.018322531,1.5921329
12801,0.52436763,0.32043126,1.2006485
12851,0.2521928,0.6735661000000001,0.75803155
12901,0.17496122,0.48980817,0.71595365
12951,0.35072967,-0.20154785,0.8368610000000001
13001,0.33634865,-0.076379396,0.16148396
13051,-0.20373996,-0.5317795,-0.5261435999999999
13101,-0.75128543,-0.43430793,-1.0326765
13152,-0.8716601999999999,0.21710071,-2.0766346
13202,-0.84662646,0.08394276,-2.291818
13251,-0.72784966,0.2117744,-2.1879547
13301,-0.48337165,0.2922018,-2.0286977
13351,-0.28949368,0.19952387,-1.7852851000000003
13401,-0.25540528,0.31350705,-1.3240261
13452,-0.12171467400000001,-0.040160432,-0.7328047
13501,-0.02584096,0.42962079999999997,0.034184974
13551,0.1648412,0.7577219000000001,0.63605887
